night_travel,road_type,unsafe_zone,battery,shake,voice_trigger,sudden_stop,manual_sos,lat,lon,rule_score,ml_score,final_score,risk_level,ward,timestamp
True,Unknown,False,100,False,False,False,False,12.929717,77.6226865,20,17.24,18.9,Safe,Koramangala,2026-05-02T06:26:58.712970
False,main,False,100,False,False,False,False,12.929717,77.6226865,0,17.24,6.9,Safe,Koramangala,2026-05-02T06:26:58.715330
False,main,False,100,False,False,False,False,12.9297136,77.6226711,0,17.24,6.9,Safe,Koramangala,2026-05-02T06:27:03.587242
False,main,False,100,False,False,False,False,12.9297116,77.6226651,0,17.24,6.9,Safe,Koramangala,2026-05-02T06:27:03.714117
True,Unknown,False,100,False,False,False,False,12.9297116,77.6226651,20,17.24,18.9,Safe,Koramangala,2026-05-02T06:27:03.719773
False,main,False,100,False,False,False,False,12.929717,77.6226865,0,17.24,6.9,Safe,Koramangala,2026-05-02T06:27:03.972767
False,main,False,100,False,False,False,False,12.9297114,77.6226718,0,17.24,6.9,Safe,Koramangala,2026-05-02T06:27:09.791571
True,Unknown,False,100,False,False,False,False,12.9297114,77.6226718,20,17.24,18.9,Safe,Koramangala,2026-05-02T06:27:09.803496
True,Unknown,False,100,False,False,False,False,12.9297038,77.6226782,20,17.24,18.9,Safe,Koramangala,2026-05-02T06:27:14.820910
False,main,False,100,False,False,False,False,12.9297038,77.6226782,0,17.24,6.9,Safe,Koramangala,2026-05-02T06:27:14.823744
False,main,False,100,False,False,False,False,12.9297116,77.6226651,0,17.24,6.9,Safe,Koramangala,2026-05-02T06:27:18.611908
False,main,False,100,False,False,False,False,12.9297114,77.6226718,0,17.24,6.9,Safe,Koramangala,2026-05-02T06:27:19.064034
False,main,False,100,False,False,False,False,12.9297038,77.6226782,0,17.24,6.9,Safe,Koramangala,2026-05-02T06:27:19.449821
True,Unknown,False,100,False,False,False,False,12.9297029,77.6226804,20,17.24,18.9,Safe,Koramangala,2026-05-02T06:27:20.914460
False,main,False,100,False,False,False,False,12.9297029,77.6226804,0,17.24,6.9,Safe,Koramangala,2026-05-02T06:27:20.921879
False,main,False,100,False,False,False,False,12.9297027,77.6226811,0,17.24,6.9,Safe,Koramangala,2026-05-02T06:27:25.902205
True,Unknown,False,100,False,False,False,False,12.9297027,77.6226811,20,17.24,18.9,Safe,Koramangala,2026-05-02T06:27:25.905079
True,Unknown,False,100,False,False,False,False,12.9297014,77.6227144,20,17.24,18.9,Safe,Koramangala,2026-05-02T06:27:31.993052
False,main,False,100,False,False,False,False,12.9297014,77.6227144,0,17.24,6.9,Safe,Koramangala,2026-05-02T06:27:31.993998
False,main,False,100,False,False,False,False,12.9297029,77.6226804,0,17.24,6.9,Safe,Koramangala,2026-05-02T06:27:33.621037
False,main,False,100,False,False,False,False,12.9297027,77.6226811,0,17.24,6.9,Safe,Koramangala,2026-05-02T06:27:34.052395
False,main,False,100,False,False,False,False,12.9297014,77.6227144,0,17.24,6.9,Safe,Koramangala,2026-05-02T06:27:34.608061
True,Unknown,False,100,False,False,False,False,12.9296982,77.6227193,20,17.24,18.9,Safe,Koramangala,2026-05-02T06:27:37.030956
False,main,False,100,False,False,False,False,12.9296982,77.6227193,0,17.24,6.9,Safe,Koramangala,2026-05-02T06:27:37.041633
True,Unknown,False,100,False,False,False,False,12.9297021,77.6227186,20,17.24,18.9,Safe,Koramangala,2026-05-02T06:27:43.131349
False,main,False,100,False,False,False,False,12.9297021,77.6227186,0,17.24,6.9,Safe,Koramangala,2026-05-02T06:27:43.132702
True,Unknown,False,100,False,False,False,False,12.929699,77.6227141,20,17.24,18.9,Safe,Koramangala,2026-05-02T06:27:48.106340
False,main,False,100,False,False,False,False,12.929699,77.6227141,0,17.24,6.9,Safe,Koramangala,2026-05-02T06:27:48.107500
False,main,False,100,False,False,False,False,12.9296982,77.6227193,0,17.24,6.9,Safe,Koramangala,2026-05-02T06:27:48.596751
False,main,False,100,False,False,False,False,12.9297021,77.6227186,0,17.24,6.9,Safe,Koramangala,2026-05-02T06:27:49.013261
False,main,False,100,False,False,False,False,12.929699,77.6227141,0,17.24,6.9,Safe,Koramangala,2026-05-02T06:27:49.408820
True,Unknown,False,100,False,False,False,False,12.9296987,77.6227137,20,17.24,18.9,Safe,Koramangala,2026-05-02T06:27:54.142362
False,main,False,100,False,False,False,False,12.9296987,77.6227137,0,17.24,6.9,Safe,Koramangala,2026-05-02T06:27:54.143151
True,Unknown,False,100,False,False,False,False,12.929697,77.6227201,20,17.24,18.9,Safe,Koramangala,2026-05-02T06:27:59.192344
False,main,False,100,False,False,False,False,12.929697,77.6227201,0,17.24,6.9,Safe,Koramangala,2026-05-02T06:27:59.195402
False,main,False,100,False,False,False,False,12.9296987,77.6227137,0,17.24,6.9,Safe,Koramangala,2026-05-02T06:28:03.611316
False,main,False,100,False,False,False,False,12.929697,77.6227201,0,17.24,6.9,Safe,Koramangala,2026-05-02T06:28:03.927507
True,Unknown,False,100,False,False,False,False,12.9296969,77.6227203,20,17.24,18.9,Safe,Koramangala,2026-05-02T06:28:05.331000
False,main,False,100,False,False,False,False,12.9296969,77.6227203,0,17.24,6.9,Safe,Koramangala,2026-05-02T06:28:05.335186
True,Unknown,False,100,False,False,False,False,12.9296983,77.622716,20,17.24,18.9,Safe,Koramangala,2026-05-02T06:28:10.308001
False,main,False,100,False,False,False,False,12.9296983,77.622716,0,17.24,6.9,Safe,Koramangala,2026-05-02T06:28:10.331480
True,Unknown,False,100,False,False,False,False,12.9296994,77.6227132,20,17.24,18.9,Safe,Koramangala,2026-05-02T06:28:16.298246
False,main,False,100,False,False,False,False,12.9296994,77.6227132,0,17.24,6.9,Safe,Koramangala,2026-05-02T06:28:16.299203
False,main,False,100,False,False,False,False,12.9296969,77.6227203,0,17.24,6.9,Safe,Koramangala,2026-05-02T06:28:18.699944
False,main,False,100,False,False,False,False,12.9296983,77.622716,0,17.24,6.9,Safe,Koramangala,2026-05-02T06:28:19.237899
False,main,False,100,False,False,False,False,12.9296994,77.6227132,0,17.24,6.9,Safe,Koramangala,2026-05-02T06:28:19.558807
False,main,False,100,False,False,False,False,12.9296997,77.6227595,0,17.24,6.9,Safe,Koramangala,2026-05-02T06:28:21.221872
True,Unknown,False,100,False,False,False,False,12.9296997,77.6227595,20,17.24,18.9,Safe,Koramangala,2026-05-02T06:28:21.237365
