night_travel,road_type,unsafe_zone,battery,shake,voice_trigger,sudden_stop,manual_sos,lat,lon,rule_score,ml_score,final_score,risk_level,ward,timestamp
False,main,False,80,False,False,False,False,12.9296852,77.6227296,0,60.73,24.29,Safe,Koramangala,2026-05-02T01:01:05.944890
False,main,False,80,False,False,False,False,12.9296842,77.6227278,0,60.73,24.29,Safe,Koramangala,2026-05-02T01:01:05.982970
False,main,False,80,False,False,False,False,12.9296852,77.6227296,0,60.73,24.29,Safe,Koramangala,2026-05-02T01:01:06.470369
False,main,False,80,False,False,False,False,12.9296864,77.6227308,0,60.73,24.29,Safe,Koramangala,2026-05-02T01:01:06.635654
False,main,False,80,False,False,False,False,12.9296864,77.6227308,0,60.73,24.29,Safe,Koramangala,2026-05-02T01:01:06.986565
False,main,False,80,False,False,False,False,12.9296875,77.6227317,0,60.73,24.29,Safe,Koramangala,2026-05-02T01:01:07.135746
False,main,False,80,False,False,False,False,12.9296875,77.6227317,0,60.73,24.29,Safe,Koramangala,2026-05-02T01:01:07.441229
False,main,False,80,False,False,False,False,12.9296885,77.6227321,0,60.73,24.29,Safe,Koramangala,2026-05-02T01:01:07.593057
False,main,False,80,False,False,False,False,12.9296881,77.6227296,0,60.73,24.29,Safe,Koramangala,2026-05-02T01:01:08.802155
False,main,False,80,False,False,False,False,12.9296885,77.6227321,0,60.73,24.29,Safe,Koramangala,2026-05-02T01:01:08.807962
False,main,False,80,False,False,False,False,12.9296761,77.6227193,0,60.73,24.29,Safe,Koramangala,2026-05-02T01:01:08.817839
False,main,False,80,False,False,False,False,12.9296881,77.6227295,0,60.73,24.29,Safe,Koramangala,2026-05-02T01:01:09.288351
False,main,False,80,False,False,False,False,12.9296881,77.6227296,0,60.73,24.29,Safe,Koramangala,2026-05-02T01:01:09.367671
False,main,False,80,False,False,False,False,12.9296884,77.6227284,0,60.73,24.29,Safe,Koramangala,2026-05-02T01:01:09.742392
False,main,False,80,False,False,False,False,12.9296881,77.6227295,0,60.73,24.29,Safe,Koramangala,2026-05-02T01:01:09.866880
False,main,False,80,False,False,False,False,12.9296884,77.6227284,0,60.73,24.29,Safe,Koramangala,2026-05-02T01:01:10.133506
False,main,False,80,False,False,False,False,12.9296884,77.6227284,0,60.73,24.29,Safe,Koramangala,2026-05-02T01:01:10.266894
False,main,False,80,False,False,False,False,12.9296861,77.6227499,0,60.73,24.29,Safe,Koramangala,2026-05-02T01:01:10.593000
False,main,False,80,False,False,False,False,12.9296884,77.6227284,0,60.73,24.29,Safe,Koramangala,2026-05-02T01:01:10.818440
False,main,False,80,False,False,False,False,12.9296465,77.6227258,0,60.73,24.29,Safe,Koramangala,2026-05-02T01:01:11.172323
False,main,False,80,False,False,False,False,12.9296861,77.6227499,0,60.73,24.29,Safe,Koramangala,2026-05-02T01:01:11.272472
False,main,False,80,False,False,False,False,12.9296442,77.6227211,0,60.73,24.29,Safe,Koramangala,2026-05-02T01:01:11.665460
False,main,False,80,False,False,False,False,12.9296465,77.6227258,0,60.73,24.29,Safe,Koramangala,2026-05-02T01:01:11.890113
